,accentcity,city,country,geopoint,latitude,longitude,population,region,point_count
95189,Beaverton,beaverton,us,"[45.4872222, -122.8025]",45.4872222,-122.8025,82648.0,OR,17
108830,Aberdeen,aberdeen,us,"[45.4647222, -98.4861111]",45.4647222,-98.4861111,23667.0,SD,5
95207,Milwaukie,milwaukie,us,"[45.4463889, -122.6380556]",45.4463889,-122.6380556,20759.0,OR,5
95195,Tigard,tigard,us,"[45.4313889, -122.7702778]",45.4313889,-122.7702778,47068.0,OR,10
95198,Lake Oswego,lake oswego,us,"[45.4208333, -122.6694444]",45.4208333,-122.6694444,36597.0,OR,8
95225,Oak Grove,oak grove,us,"[45.4169444, -122.6388889]",45.4169444,-122.6388889,12674.0,OR,3
95202,Tualatin,tualatin,us,"[45.3841667, -122.7627778]",45.3841667,-122.7627778,26476.0,OR,6
95227,Gladstone,gladstone,us,"[45.3808333, -122.5936111]",45.3808333,-122.5936111,12249.0,OR,3
95203,West Linn,west linn,us,"[45.3658333, -122.6111111]",45.3658333,-122.6111111,26067.0,OR,6
56004,Lincoln,lincoln,us,"[45.3622222, -68.5055556]",45.3622222,-68.5055556,6330.0,ME,2
95200,Oregon City,oregon city,us,"[45.3575, -122.6055556]",45.3575,-122.6055556,29984.0,OR,6
95220,Sherwood,sherwood,us,"[45.3566667, -122.8388889]",45.3566667,-122.8388889,15157.0,OR,4
95226,La Grande,la grande,us,"[45.3247222, -118.0866667]",45.3247222,-118.0866667,12288.0,OR,3
60783,East Bethel,east bethel,us,"[45.3194444, -93.2022222]",45.3194444,-93.2022222,11971.0,MN,3
60788,Monticello,monticello,us,"[45.3055556, -93.7938889]",45.3055556,-93.7938889,10871.0,MN,3
60748,Elk River,elk river,us,"[45.3038889, -93.5669444]",45.3038889,-93.5669444,20377.0,MN,5
95206,Newberg,newberg,us,"[45.3002778, -122.9719444]",45.3002778,-122.9719444,20790.0,OR,5
95216,Wilsonville,wilsonville,us,"[45.3, -122.7725]",45.3,-122.7725,16134.0,OR,4
60764,Forest Lake,forest lake,us,"[45.2788889, -92.985]",45.2788889,-92.985,17449.0,MN,4
95217,Canby,canby,us,"[45.2630556, -122.6913889]",45.2630556,-122.6913889,15459.0,OR,4
60769,Ham Lake,ham lake,us,"[45.2502778, -93.2497222]",45.2502778,-93.2497222,14954.0,MN,3
60749,Ramsey,ramsey,us,"[45.2461111, -93.4519444]",45.2461111,-93.4519444,20362.0,MN,5
60730,Andover,andover,us,"[45.2333333, -93.2911111]",45.2333333,-93.2911111,30209.0,MN,7
69190,Dillon,dillon,us,"[45.2163889, -112.6366667]",45.2163889,-112.6366667,3964.0,MT,1
60768,Saint Michael,saint michael,us,"[45.21, -93.6647222]",45.21,-93.6647222,15516.0,MN,4
60761,Anoka,anoka,us,"[45.1977778, -93.3869444]",45.1977778,-93.3869444,17706.0,MN,4
60742,Champlin,champlin,us,"[45.1888889, -93.3972222]",45.1888889,-93.3972222,23364.0,MN,5
132204,Merrill,merrill,us,"[45.1805556, -89.6833333]",45.1805556,-89.6833333,10184.0,WI,3
60771,Buffalo,buffalo,us,"[45.1719444, -93.8744444]",45.1719444,-93.8744444,14283.0,MN,3
60715,Blaine,blaine,us,"[45.1608333, -93.2347222]",45.1608333,-93.2347222,54207.0,MN,11
60751,Lino Lakes,lino lakes,us,"[45.1602778, -93.0886111]",45.1602778,-93.0886111,20095.0,MN,5
60793,Hugo,hugo,us,"[45.16, -92.9930556]",45.16,-92.9930556,10125.0,MN,3
95204,Woodburn,woodburn,us,"[45.1438889, -122.8541667]",45.1438889,-122.8541667,22866.0,OR,5
60758,Willmar,willmar,us,"[45.1219444, -95.0430556]",45.1219444,-95.0430556,18473.0,MN,4
60711,Coon Rapids,coon rapids,us,"[45.12, -93.2875]",45.12,-93.2875,62528.0,MN,13
60779,Mounds View,mounds view,us,"[45.105, -93.2083333]",45.105,-93.2083333,12648.0,MN,3
132194,Marinette,marinette,us,"[45.1, -87.6305556]",45.1,-87.6305556,11171.0,WI,3
60708,Brooklyn Park,brooklyn park,us,"[45.0941667, -93.3561111]",45.0941667,-93.3561111,67595.0,MN,14
