,zip_code,y-2016,lat,lon,major_city,radius_in_miles,state
325,1566,6442,42.1,-72.08,Sturbridge,7,MA
326,1568,7532,42.18,-71.6,Upton,5,MA
327,1569,13881,42.06,-71.64,Uxbridge,5,MA
328,1570,16838,42.06,-71.85,Webster,3,MA
329,1571,11608,42.06,-71.94,Dudley,4,MA
330,1581,18706,42.27,-71.61,Westborough,5,MA
331,1583,7602,42.36,-71.78,West Boylston,4,MA
332,1585,4606,42.23,-72.18,West Brookfield,7,MA
333,1588,9731,42.13,-71.66,Whitinsville,3,MA
334,1590,9184,42.14,-71.76,Sutton,5,MA
335,1602,23812,42.27,-71.85,Worcester,3,MA
336,1603,20505,42.25,-71.84,Worcester,2,MA
337,1604,35866,42.25,-71.76,Worcester,2,MA
338,1605,28696,42.29,-71.8,Worcester,3,MA
339,1606,19258,42.31,-71.8,Worcester,3,MA
340,1607,8636,42.23,-71.79,Worcester,2,MA
341,1608,3511,42.26,-71.8,Worcester,0.909090909,MA
342,1609,19982,42.28,-71.83,Worcester,2,MA
343,1610,23919,42.25,-71.81,Worcester,1,MA
344,1611,2466,42.25,-71.88,Cherry Valley,3,MA
345,1612,4889,42.32,-71.93,Paxton,4,MA
346,1701,32061,42.32,-71.43,Framingham,4,MA
347,1702,38781,42.28,-71.44,Framingham,4,MA
348,1718,526,42.52,-71.429,Village Of Nagog Woods,0.227272727,MA
349,1719,5287,42.49,-71.52,Boxborough,3,MA
350,1720,22638,42.49,-71.44,Acton,5,MA
351,1721,17420,42.26,-71.47,Ashland,4,MA
352,1730,14018,42.5,-71.28,Bedford,3,MA
353,1731,1957,42.46,-71.28,Hanscom Afb,1,MA
354,1740,5113,42.44,-71.6,Bolton,4,MA
355,1741,5125,42.53,-71.35,Carlisle,3,MA
356,1742,19448,42.46,-71.36,Concord,5,MA
357,1745,482,42.292,-71.5,Fayville,0.568181818,MA
358,1746,14324,42.2,-71.44,Holliston,4,MA
359,1747,5942,42.13,-71.54,Hopedale,3,MA
360,1748,16257,42.23,-71.53,Hopkinton,5,MA
361,1749,19680,42.39,-71.54,Hudson,5,MA
362,1752,39545,42.35,-71.55,Marlborough,5,MA
363,1754,10526,42.43,-71.45,Maynard,2,MA
364,1756,5963,42.1,-71.54,Mendon,4,MA
365,1757,28600,42.15,-71.52,Milford,4,MA
366,1760,35133,42.28,-71.35,Natick,4,MA
367,1770,4255,42.23,-71.37,Sherborn,4,MA
368,1772,9486,42.3,-71.54,Southborough,3,MA
369,1773,4793,42.43,-71.32,Lincoln,3,MA
370,1775,7027,42.43,-71.51,Stow,4,MA
371,1776,18594,42.39,-71.42,Sudbury,5,MA
372,1778,13697,42.36,-71.36,Wayland,5,MA
373,1801,39775,42.49,-71.16,Woburn,4,MA
