,Illnesses,PASSENGERS,population,perNoYrly,Ycity,Unnamed: 0,DENSITY,POP
314,146.0,0.0,99751.0,35.0,"Billings, MT",10219.0,2490.7316066,109550.0
104,0.0,0.0,103041.0,34.5,"Richmond, CA",1547.0,3664.6414644,110146.0
380,590.0,0.0,98851.0,39.5,"Gresham, OR",14437.0,4717.429623,110158.0
182,32.0,0.0,90761.0,24.700000000000003,"Lakeland, FL",2241.0,1671.0541859000002,110516.0
148,54.0,0.0,96930.0,40.4,"Centennial, CO",1722.0,3747.1505176,110831.0
480,34.0,0.0,96993.0,40.7,"Everett, WA",18357.0,3346.369029,111262.0
230,3191.0,1.0,113004.0,30.700000000000003,"Peoria, IL",4116.0,2309.3980635000003,111388.0
201,32.0,0.0,93620.0,22.5,"West Palm Beach, FL",2439.0,2031.1187579999998,111398.0
27,0.0,0.0,106038.0,35.5,"Antioch, CA",1214.0,3800.6502279,111535.0
273,174.0,0.0,103469.0,26.400000000000006,"Lowell, MA",7554.0,8206.7875566,111670.0
225,3191.0,0.0,98586.0,32.5,"Elgin, IL",3545.0,2978.1427160999997,111683.0
156,54.0,0.0,104293.0,39.4,"Pueblo, CO",1891.0,2002.6334285,111750.0
195,32.0,0.0,89715.0,24.400000000000006,"Pompano Beach, FL",2361.0,4660.823522899999,111954.0
42,0.0,0.0,86324.0,36.7,"Clovis, CA",1282.0,4551.7779787,112022.0
48,0.0,0.0,111862.0,34.2,"Downey, CA",1318.0,9048.0505189,112269.0
356,447.0,0.0,94281.0,26.5,"High Point, NC",12146.0,2013.8449675000002,112316.0
323,634.0,3.0,109877.0,28.200000000000003,"Manchester, NH",10895.0,3402.1158104,112525.0
188,32.0,0.0,0.0,19.5,"Miami Gardens, FL",2288.0,6201.2435797,113069.0
399,571.0,0.0,82838.0,33.7,"North Charleston, SC",15783.0,1461.3312704000002,113237.0
158,54.0,0.0,104037.0,38.4,"Westminster, CO",1944.0,3593.3109821000003,113479.0
46,0.0,0.0,109250.0,34.7,"Costa Mesa, CA",1297.0,7192.8670716999995,113615.0
191,32.0,0.0,89093.0,24.299999999999997,"Palm Bay, FL",2335.0,1167.5205109,114194.0
233,3191.0,2.0,115975.0,31.599999999999994,"Springfield, IL",4304.0,1880.8360952,114694.0
129,0.0,0.0,85145.0,33.900000000000006,"Temecula, CA",1632.0,3078.9823920000003,114742.0
84,0.0,0.0,88714.0,33.900000000000006,"Murrieta, CA",1481.0,3420.7072159000004,114985.0
51,0.0,0.0,125372.0,35.8,"El Monte, CA",1328.0,12087.604564,115586.0
35,0.0,0.0,91070.0,34.5,"Carlsbad, CA",1265.0,3069.5649158000006,115877.0
463,8.0,0.0,101031.0,36.6,"West Jordan, UT",18005.0,3590.1364949,116046.0
419,354.0,0.0,78533.0,29.400000000000006,"College Station, TX",16762.0,2276.1447387,116218.0
172,32.0,0.0,108064.0,25.799999999999997,"Clearwater, FL",2105.0,4481.9155885,116478.0
459,8.0,0.0,105764.0,42.1,"Provo, UT",17945.0,2800.677718,116702.0
53,0.0,0.0,105741.0,35.599999999999994,"Fairfield, CA",1339.0,2849.5700471,116884.0
307,720.0,0.0,110675.0,30.900000000000006,"Independence, MO",9690.0,1502.2061517999998,116925.0
302,203.0,20.0,96355.0,35.099999999999994,"Rochester, MN",8771.0,2119.0694741,116961.0
237,1247.0,0.0,115474.0,31.200000000000003,"Evansville, IN",4647.0,2492.9317344,117963.0
288,516.0,2000.0,117691.0,27.700000000000003,"Lansing, MI",7854.0,3023.3601694000004,118427.0
415,354.0,0.0,111485.0,27.599999999999994,"Beaumont, TX",16624.0,1438.3702613,118428.0
452,354.0,18.0,75777.0,30.400000000000006,"Sugar Land, TX",17607.0,2929.5132783000004,118600.0
270,174.0,0.0,101382.0,24.299999999999997,"Cambridge, MA",7538.0,18610.472477,118977.0
145,54.0,0.0,101732.0,38.2,"Arvada, CO",1690.0,3107.5011381,120492.0
443,354.0,0.0,91256.0,32.0,"Odessa, TX",17339.0,2666.0541049000003,120568.0
448,354.0,0.0,104791.0,29.5,"Richardson, TX",17457.0,4235.2956807,120981.0
385,1618.0,0.0,105519.0,31.099999999999994,"Allentown, PA",14608.0,6920.190755399999,121433.0
32,0.0,0.0,100158.0,33.2,"Berkeley, CA",1239.0,11613.866969,121643.0
281,516.0,0.0,113810.0,30.5,"Ann Arbor, MI",7598.0,4368.375728,121890.0
138,0.0,0.0,120446.0,34.7,"Vallejo, CA",1649.0,3972.1175783,121913.0
445,354.0,0.0,55233.0,29.900000000000006,"Pearland, TX",17376.0,2536.3483306999997,122149.0
139,0.0,0.0,83496.0,34.2,"Victorville, CA",1651.0,1661.4197425,122312.0
161,86.0,80826.0,124019.0,24.299999999999997,"Hartford, CT",1965.0,7053.547995300001,122587.0
359,447.0,59.0,92424.0,26.5,"Wilmington, NC",12463.0,2372.9601110999997,122607.0
409,354.0,6.0,114247.0,32.8,"Abilene, TX",16547.0,1153.094099,122999.0
306,720.0,0.0,91415.0,29.5,"Columbia, MO",9458.0,1878.6964001,123180.0
374,0.0,0.0,101742.0,31.0,"Norman, OK",14149.0,690.4397616,123471.0
361,138.0,495.0,92103.0,36.9,"Fargo, ND",12582.0,2509.7655643000003,124844.0
125,0.0,0.0,119417.0,35.5,"Simi Valley, CA",1612.0,3030.8635406999997,125851.0
256,220.0,0.0,121570.0,32.7,"Topeka, KS",6568.0,2049.1677132,125904.0
203,25.0,0.0,0.0,25.0,"Athens, GA",2482.0,1082.4179869999998,125964.0
262,508.0,0.0,112197.0,29.099999999999994,"Lafayette, LA",7198.0,2273.9099871,126143.0
